loan_id,loan_amount,credit_rating,tenure_years,interest_rate,sector,borrower_income,ltv_ratio,dti_ratio,PD,LGD,EAD,Expected_Loss,risk_weighted_ead,downgrade_risk,watchlist_reason
1,1000000,BB,3,16.86,Corporate,1177227,0.773,0.252,0.063,0.55,1000000,34650.0,1802000.0,False,Performing
2,1000000,A,3,8.06,Corporate,1440621,0.762,0.263,0.007,0.35,1000000,2450.0,1378000.0,False,Performing
3,50000,BB,10,17.24,Retail,1958115,0.771,0.2,0.063,0.55,50000,1732.5,90100.0,False,Performing
4,250000,BBB,2,12.62,Retail,2120465,0.663,0.121,0.022,0.45,250000,2474.9999999999995,384500.0,False,Performing
5,500000,AAA,2,7.5,Retail,1213055,0.41,0.296,0.001,0.2,500000,100.0,602000.0,False,Performing
6,250000,B,3,19.69,Retail,2063575,0.96,0.15,0.152,0.65,250000,24700.0,564500.0,True,Weak rating with high leverage / repayment pressure
7,500000,BB,2,16.03,MSME,924942,0.766,0.298,0.063,0.55,500000,17325.0,901000.0,False,Performing
8,500000,BB,5,15.7,Agri,2163535,0.767,0.208,0.063,0.55,500000,17325.0,901000.0,False,Performing
9,1000000,AA,3,7.5,Retail,696672,0.455,0.582,0.002,0.25,1000000,500.0,1258000.0,False,Performing
10,50000,BBB,7,13.42,Retail,1067198,0.737,0.085,0.022,0.45,50000,494.99999999999994,76900.0,False,Performing
11,500000,A,5,9.96,Corporate,1536046,0.583,0.222,0.007,0.35,500000,1225.0,689000.0,False,Performing
12,1000000,B,5,19.83,MSME,1386861,0.943,0.188,0.152,0.65,1000000,98800.0,2258000.0,True,Weak rating with high leverage / repayment pressure
13,250000,BBB,7,13.52,Retail,781652,0.732,0.158,0.022,0.45,250000,2474.9999999999995,384500.0,False,Performing
14,500000,BB,2,16.55,Retail,461183,0.77,0.601,0.063,0.55,500000,17325.0,901000.0,True,Weak rating with high leverage / repayment pressure
15,50000,A,5,9.51,Agri,1763116,0.524,0.053,0.007,0.35,50000,122.5,68900.0,False,Performing
16,250000,AA,5,9.57,Retail,1264006,0.557,0.25,0.002,0.25,250000,125.0,314500.0,False,Performing
17,500000,BBB,3,13.9,Corporate,1016444,0.678,0.28,0.022,0.45,500000,4949.999999999999,769000.0,False,Performing
18,250000,AAA,1,8.89,Real Estate,3915795,0.51,0.221,0.001,0.2,250000,50.0,301000.0,False,Performing
19,500000,BB,5,15.76,Retail,1012451,0.602,0.183,0.063,0.55,500000,17325.0,901000.0,False,Performing
